index,Zip Code,Population,People / Sq. Mile
1,10162,"1,726","151,834.77"
2,10028,"44,987","126,067.69"
3,10128,"59,856","122,356.52"
4,10031,"60,221","101,100.03"
5,10009,"58,595","100,687.04"
6,10032,"63,842","97,879.45"
7,11372,"71,308","97,325.47"
8,10016,"51,217","93,367.31"
9,10003,"53,673","93,255.87"
10,10002,"84,870","91,610.40"
11,10026,"30,377","91,152.04"
12,10023,"62,206","90,007.70"
13,10025,"97,086","88,306.24"
14,10453,"76,775","87,970.27"
15,10030,"25,847","85,824.24"
16,10021,"102,078","82,704.42"
17,11226,"106,154","81,064.34"
18,10029,"75,390","80,506.67"
19,10012,"26,000","80,124.51"
20,10033,"58,259","78,867.63"
21,10040,"46,599","75,283.14"
22,11104,"29,506","74,459.01"
23,10452,"72,138","74,380.42"
24,10011,"46,669","71,113.64"
25,10039,"21,737","70,988.68"
26,10456,"76,656","70,924.40"
27,10010,"26,408","70,827.70"
28,10468,"78,309","70,721.85"
29,10022,"30,642","68,953.71"
30,10037,"16,984","65,200.97"
31,10458,"77,840","62,296.26"
32,11103,"44,321","62,111.19"
33,11213,"65,440","61,712.16"
34,11373,"105,723","60,548.99"
35,10457,"69,048","58,547.95"
36,10024,"61,414","58,433.71"
37,10014,"32,667","57,977.33"
38,11216,"55,775","57,545.77"
39,11219,"85,987","57,544.50"
40,10472,"64,867","57,252.59"
41,11212,"85,161","55,655.62"
42,11221,"76,363","55,063.29"
43,10038,"15,574","55,019.61"
44,10027,"56,168","55,006.21"
45,11220,"92,718","54,760.03"
46,11218,"74,611","51,580.19"
47,10455,"37,465","50,333.01"
48,11106,"43,130","49,707.26"
49,10017,"16,201","49,391.49"
50,10462,"72,077","48,907.02"
51,11206,"69,032","48,593.28"
52,11237,"48,910","48,552.49"
53,11374,"44,189","48,499.11"
54,10019,"36,012","48,230.17"
55,11230,"88,933","48,088.05"
56,10034,"41,756","47,051.23"
57,11204,"74,880","46,953.11"
58,10459,"39,080","46,368.65"
59,11217,"35,353","46,140.97"
60,11233,"61,955","46,112.06"
61,10013,"25,042","45,458.99"
62,11211,"85,089","44,840.17"
63,11225,"63,774","44,803.32"
64,11102,"36,291","44,416.74"
65,10280,"6,614","44,080.87"
66,11419,"48,867","43,351.49"
67,11238,"48,965","42,063.29"
68,11355,"83,281","40,980.07"
69,10044,"9,520","39,391.64"
70,10451,"40,961","39,106.39"
71,11368,"98,841","38,864.33"
72,11210,"62,308","38,833.14"
73,11203,"84,498","38,695.54"
74,10463,"65,576","38,449.34"
75,11214,"83,546","38,227.99"
76,11223,"77,691","37,104.95"
77,11229,"80,554","36,919.61"
78,10036,"18,751","36,429.01"
79,11415,"20,956","35,355.55"
80,11435,"53,877","35,207.72"
81,11224,"51,205","35,066.79"
82,11416,"23,668","34,977.35"
83,11377,"88,339","34,536.25"
84,10454,"34,976","33,618.50"
85,10466,"68,787","33,497.36"
86,10467,"94,342","33,219.75"
87,11201,"47,746","33,114.98"
88,10460,"53,707","33,064.79"
89,11369,"36,110","32,616.57"
90,11207,"86,551","31,820.27"
91,11209,"69,840","31,098.42"
92,11421,"37,664","30,881.52"
93,11235,"77,451","30,866.46"
94,11370,"43,142","30,152.15"
95,11215,"63,001","27,309.38"
96,11236,"96,301","27,271.95"
97,11228,"41,172","27,177.25"
98,10475,"38,086","27,132.60"
99,11205,"35,622","26,893.82"
100,11375,"70,204","26,784.05"
101,11385,"97,524","26,384.56"
102,10473,"56,166","26,210.61"
103,10001,"17,310","26,111.88"
104,11432,"57,045","26,065.18"
105,11417,"28,607","25,964.14"
106,11105,"42,117","25,956.30"
107,11428,"21,023","25,192.34"
108,11208,"87,165","24,992.88"
109,11354,"54,329","24,948.16"
110,10469,"63,345","24,026.94"
111,10035,"32,702","23,818.08"
112,11231,"32,974","22,776.82"
113,11418,"36,571","22,694.55"
114,10282,"1,574","22,144.94"
115,10461,"49,808","21,734.34"
116,11222,"39,360","21,724.29"
117,11436,"18,148","21,578.65"
118,11420,"45,498","21,430.46"
119,10006,"1,447","21,409.87"
120,11232,"27,723","20,953.79"
121,11429,"27,647","20,794.49"
122,11367,"38,216","20,384.04"
123,10069,"1,403","20,318.57"
124,11239,"14,620","19,900.74"
125,11434,"59,142","19,683.46"
126,11412,"37,452","19,681.64"
127,11358,"38,647","19,661.60"
128,11423,"31,240","19,366.77"
129,10007,"3,522","19,229.09"
130,10550,"38,284","18,973.40"
131,10470,"15,780","18,653.90"
132,11366,"13,366","18,341.01"
133,11433,"28,435","18,129.86"
134,11411,"21,282","17,687.64"
135,11365,"41,566","17,380.05"
136,10705,"38,115","17,061.90"
137,11427,"23,014","15,531.36"
138,11379,"28,984","15,242.36"
139,11361,"29,206","15,180.72"
140,11692,"15,893","15,061.65"
141,10701,"63,715","15,054.57"
142,10553,"10,102","14,898.05"
143,11004,"14,682","14,388.66"
144,10018,"4,255","14,250.83"
145,10308,"26,451","14,230.06"
146,11357,"39,491","14,136.10"
147,11550,"59,022","13,976.06"
148,10703,"20,410","13,884.55"
149,10302,"16,406","13,875.40"
150,11378,"34,053","13,268.80"
151,11356,"20,444","13,186.78"
152,11691,"56,184","13,164.72"
153,11413,"39,827","13,046.46"
154,10310,"22,852","12,829.03"
155,11694,"19,278","12,713.02"
156,14201,"13,609","12,470.26"
157,11364,"34,539","12,340.99"
158,11414,"28,121","12,292.73"
159,11360,"19,350","12,040.46"
160,11005,"2,195","12,029.65"
161,11003,"40,507","11,863.18"
162,10005,884,"11,701.01"
163,14222,"14,365","11,664.08"
164,11426,"18,727","11,552.09"
165,10552,"19,948","11,540.74"
166,14213,"26,080","11,537.77"
167,12210,"9,492","11,492.07"
168,14208,"13,207","11,397.61"
169,10465,"42,500","11,299.91"
170,10805,"17,957","10,969.42"
171,11561,"39,582","10,930.38"
172,10304,"38,972","10,617.85"
173,10704,"29,158","10,377.31"
174,10801,"36,322","10,374.42"
175,14619,"14,754","10,354.31"
176,10301,"38,805","10,327.23"
177,10606,"15,733","10,282.38"
178,14621,"35,977","9,959.16"
179,11563,"23,231","9,882.81"
180,11010,"24,778","9,804.45"
181,14215,"44,484","9,690.50"
182,11501,"19,111","9,664.43"
183,11580,"37,759","9,630.82"
184,14607,"16,297","9,341.99"
185,12307,"6,843","9,169.28"
186,11001,"25,511","9,097.47"
187,11101,"25,595","9,029.74"
188,14613,"15,078","8,980.03"
189,10305,"38,450","8,962.46"
190,13203,"15,435","8,881.07"
191,11234,"86,898","8,846.37"
192,11575,"15,975","8,803.39"
193,11520,"44,026","8,753.04"
194,11362,"17,502","8,669.78"
195,14216,"23,587","8,644.17"
196,14217,"24,692","8,355.29"
197,11040,"39,157","8,296.10"
198,11553,"23,452","8,285.93"
199,11565,"9,140","8,279.74"
200,14211,"29,590","8,224.15"
201,14212,"15,364","8,191.81"
202,14605,"14,418","8,113.89"
203,10471,"23,413","8,057.39"
